text	favorited	favoriteCount	replyToSN	created	truncated	replyToSID	id	replyToUID	statusSource	screenName	retweetCount	isRetweet	retweeted	longitude	latitude
I will be meeting with the NRA, who has endorsed me, about not allowing people on the terrorist watch list, or the no fly list, to buy guns.	FALSE	47868.0	NA	2016-06-15T13:50:31Z	FALSE	NA	743078235408195584	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	14210.0	FALSE	FALSE	NA	NA
The press is so totally biased that we have no choice but to take our tough but fair and smart message directly to the people!	FALSE	27668.0	NA	2016-06-15T13:44:14Z	FALSE	NA	743076652662431744	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	8940.0	FALSE	FALSE	NA	NA
"An: Media fell all over themselves criticizing what DonaldTrump ""may have insinuated about @POTUS."" But he's right: https://t.co/bIIdYtvZYw"	FALSE	14555.0	NA	2016-06-15T13:38:17Z	FALSE	NA	743075154507489280	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	7978.0	FALSE	FALSE	NA	NA
Thank you Greensboro, North Carolina! Will be back soon! #AmericaFirst https://t.co/R29WMGNLGG	FALSE	18266.0	NA	2016-06-15T02:40:32Z	FALSE	NA	742909628338601985	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	5015.0	FALSE	FALSE	NA	NA
"TONIGHT! NORTH CAROLINA:
https://t.co/UolRS3aT6W

WEDNESDAY! GEORGIA:
https://t.co/1JJ2Kn0ani

SATURDAY! NEVADA:
https://t.co/x3w1PHtLXP"	FALSE	9764.0	NA	2016-06-14T18:28:48Z	FALSE	NA	742785878679007232	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	3343.0	FALSE	FALSE	NA	NA
HAPPY 241st BIRTHDAY to the @USArmy! THANK YOU! https://t.co/mXsxkfcstC	FALSE	36069.0	NA	2016-06-14T18:09:57Z	FALSE	NA	742781133197299712	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	10381.0	FALSE	FALSE	NA	NA
Thank you to the LGBT community! I will fight for you while Hillary brings in more people that will threaten your freedoms and beliefs.	FALSE	51970.0	NA	2016-06-14T17:31:58Z	FALSE	NA	742771576039460864	NA	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	realDonaldTrump	18203.0	FALSE	FALSE	NA	NA
AMERICA FIRST!	FALSE	48691.0	NA	2016-06-14T12:28:16Z	FALSE	NA	742695148241313792	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	21193.0	FALSE	FALSE	NA	NA
American must now get very tough, very smart and very vigilant. We cannot admit people into our country without extraordinary screening.	FALSE	43839.0	NA	2016-06-14T12:26:49Z	FALSE	NA	742694780933656576	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	15068.0	FALSE	FALSE	NA	NA
"Join me in Atlanta on Wednesday- at noon! #Trump2016
Tickets: https://t.co/1JJ2Kn0ani https://t.co/cyARlHSEFU"	FALSE	12617.0	NA	2016-06-14T00:20:57Z	FALSE	NA	742512112614944768	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	4203.0	FALSE	FALSE	NA	NA
Crooked Hillary says we must call on Saudi Arabia and other countries to stop funding hate. I am calling on- cont'd: https://t.co/T1fVcu3mEC	FALSE	15849.0	NA	2016-06-13T21:35:30Z	FALSE	NA	742470476824477696	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	6232.0	FALSE	FALSE	NA	NA
Saudi Arabia and many of the countries that gave vast amounts of money to the Clinton Foundation- cont'd: https://t.co/t31ReRSzzy	FALSE	15268.0	NA	2016-06-13T21:32:44Z	FALSE	NA	742469778560929793	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	7089.0	FALSE	FALSE	NA	NA
I thought people weren’t celebrating? They were cheering all over, even this savage from Orlando. I was right. https://t.co/DrVa65X9rI	FALSE	20572.0	NA	2016-06-13T21:12:21Z	FALSE	NA	742464647878561794	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	9817.0	FALSE	FALSE	NA	NA
In my speech on protecting America I spoke about a temporary ban, which includes suspending immigration from nations tied to Islamic terror.	FALSE	39248.0	NA	2016-06-13T21:10:26Z	FALSE	NA	742464168482201602	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	13265.0	FALSE	FALSE	NA	NA
Based on the incredibly inaccurate coverage and reporting of the record setting Trump campaign, we are hereby:  https://t.co/THKJwjNkaz	FALSE	13510.0	NA	2016-06-13T20:38:59Z	FALSE	NA	742456254837215232	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	4576.0	FALSE	FALSE	NA	NA
I am no fan of President Obama, but to show you how dishonest the phony Washington Post is: https://t.co/cITm8BPixD	FALSE	11983.0	NA	2016-06-13T20:35:11Z	FALSE	NA	742455297059475456	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	4101.0	FALSE	FALSE	NA	NA
Sad case- @USATODAY did article saying I don't pay bills- false, only don't pay when work is shoddy, bad, or not done! They should do same!	FALSE	17689.0	NA	2016-06-11T18:21:15Z	FALSE	NA	741696814194274304	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	5285.0	FALSE	FALSE	NA	NA
